%time,field.bms_alarm_status,field.SOC_Value,field.SOH_Value,field.totalVoltage,field.totalCurrent,field.voltageDiff,field.tempDiff,field.BCU_Mode,field.Charging
1769691249538296461,0,100,0,53,0,0,48,0,0
1769691249540042638,0,100,0,53,0,0,48,0,0
1769691249540215015,0,100,0,53,0,0,48,0,0
1769691250538468360,0,100,0,53,0,0,48,0,0
1769691250538731813,0,100,0,53,0,0,48,0,0
1769691250539801120,0,100,0,53,0,0,48,0,0
1769691251539354562,0,100,0,53,0,0,48,0,0
1769691251539615631,0,100,0,53,0,0,48,0,0
1769691251539837360,0,100,0,53,0,0,48,0,0
1769691252538524866,0,100,0,53,0,0,48,0,0
1769691252538792371,0,100,0,53,0,0,48,0,0
1769691252539254665,0,100,0,53,0,0,48,0,0
1769691253538892030,0,100,0,53,0,0,48,0,0
1769691253539156198,0,100,0,53,0,0,48,0,0
1769691253539351224,0,100,0,53,0,0,48,0,0
1769691254538876771,0,100,0,53,0,0,48,0,0
1769691254539538860,0,100,0,53,0,0,48,0,0
1769691254539740324,0,100,0,53,0,0,48,0,0
1769691255538393974,0,100,0,53,0,0,48,0,0
1769691255538662195,0,100,0,53,0,0,48,0,0
1769691255539561510,0,100,0,53,0,0,48,0,0
1769691256539067983,0,100,0,53,0,0,48,0,0
1769691256539254665,0,100,0,53,0,0,48,0,0
1769691256540389776,0,100,0,53,0,0,48,0,0
1769691257538582324,0,100,0,53,0,0,48,0,0
1769691257538854122,0,100,0,53,0,0,48,0,0
1769691257539051532,0,100,0,53,0,0,48,0,0
1769691258538894891,0,100,0,53,0,0,48,0,0
1769691258539081811,0,100,0,53,0,0,48,0,0
1769691258539285898,0,100,0,53,0,0,48,0,0
1769691259538606405,0,100,0,53,0,0,48,0,0
1769691259538885354,0,100,0,53,0,0,48,0,0
1769691259539083480,0,100,0,53,0,0,48,0,0
1769691260538133859,0,100,0,53,0,0,48,0,0
1769691260538759946,0,100,0,53,0,0,48,0,0
1769691260539067029,0,100,0,53,0,0,48,0,0
1769691261538577556,0,100,0,53,0,0,48,0,0
1769691261539277791,0,100,0,53,0,0,48,0,0
1769691261539591789,0,100,0,53,0,0,48,0,0
1769691262538779497,0,100,0,53,0,0,48,0,0
1769691262539280414,0,100,0,53,0,0,48,0,0
1769691262539694786,0,100,0,53,0,0,48,0,0
1769691263538450241,0,100,0,53,0,0,48,0,0
1769691263538999080,0,100,0,53,0,0,48,0,0
1769691263539603471,0,100,0,53,0,0,48,0,0
1769691264538455009,0,100,0,53,0,0,48,0,0
1769691264538959026,0,100,0,53,0,0,48,0,0
1769691264539428234,0,100,0,53,0,0,48,0,0
1769691265538179636,0,100,0,53,-63,0,48,0,0
1769691265538796901,0,100,0,53,-63,0,48,0,0
1769691265539892196,0,100,0,53,-63,0,48,0,0
1769691266539026021,0,100,0,53,-63,0,48,0,0
1769691266539290904,0,100,0,53,-63,0,48,0,0
1769691266539486408,0,100,0,53,-63,0,48,0,0
1769691267538490295,0,100,0,53,-63,0,48,0,0
1769691267539266347,0,100,0,53,-63,0,48,0,0
1769691267539523124,0,100,0,53,-63,0,48,0,0
1769691268538373470,0,100,0,52,-63,0,48,0,0
1769691268538645029,0,100,0,52,-63,0,48,0,0
1769691268539118766,0,100,0,52,-63,0,48,0,0
1769691269538892984,0,100,0,52,-63,0,48,0,0
1769691269682071924,0,100,0,52,-63,0,48,0,0
1769691269682251930,0,100,0,52,-63,0,48,0,0
1769691270539176225,0,100,0,52,-63,0,48,0,0
1769691270539455890,0,100,0,52,-63,0,48,0,0
1769691270539592504,0,100,0,52,-63,0,48,0,0
1769691271539007425,0,100,0,52,-63,0,48,0,0
1769691271539272785,0,100,0,52,-63,0,48,0,0
1769691271539464712,0,100,0,52,-63,0,48,0,0
1769691272538402080,0,100,0,52,-63,0,48,0,0
1769691272538672924,0,100,0,52,-63,0,48,0,0
1769691272539283514,0,100,0,52,-63,0,48,0,0
1769691273539464712,0,100,0,52,-63,0,48,0,0
1769691273539749383,0,100,0,52,-63,0,48,0,0
1769691273539920806,0,100,0,52,-63,0,48,0,0
1769691274538406848,0,100,0,52,-63,0,48,0,0
1769691274552628517,0,100,0,52,-63,0,48,0,0
1769691274552670478,0,100,0,52,-63,0,48,0,0
1769691275538477897,0,100,0,52,-63,0,48,0,0
1769691275539141178,0,100,0,52,-63,0,48,0,0
1769691275539579629,0,100,0,52,-63,0,48,0,0
1769691276538747310,0,100,0,52,-63,0,48,0,0
1769691276539263486,0,100,0,52,-63,0,48,0,0
1769691276540039539,0,100,0,52,-63,0,48,0,0
1769691277538129568,0,100,0,52,-63,0,48,0,0
1769691277539305686,0,100,0,52,-63,0,48,0,0
1769691277540010929,0,100,0,52,-63,0,48,0,0
1769691278539026737,0,100,0,52,-63,0,48,0,0
1769691278539220809,0,100,0,52,-63,0,48,0,0
1769691278539432287,0,100,0,52,-63,0,48,0,0
1769691279538493871,0,100,0,52,-63,0,48,0,0
1769691279539905309,0,100,0,52,-63,0,48,0,0
1769691279540108919,0,100,0,52,-63,0,48,0,0
1769691280538520097,0,100,0,52,-63,0,48,0,0
1769691280540066480,0,100,0,52,-63,0,48,0,0
1769691280540254116,0,100,0,52,-63,0,48,0,0
1769691281539357662,0,100,0,52,-63,0,48,0,0
1769691281540086746,0,100,0,52,-63,0,48,0,0
